Dnr,ProjektTitelSv,SammanfattningSv,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2017-00914,Öka stadens kapacitet att hantera buller och luftföroreningar med urban morfologi och gröna ytor,"Luftföroreningar och buller ger betydande negativ inverkan på urbana miljöer internationellt. I svenska tätorters gatumiljö är vägtrafik den största källan till både buller och grova partiklar (PM10) och indikatorerna som kopplar till miljömålen för God bebyggd miljö och Frisk luft visar ingen genomgripande positiv trend.Fram till i dag har buller och luftkvalitet ofta hanterats separat. Detta är ineffektivt, medför onödiga byggkostnader och kan leda till en onödigt dålig boendemiljö, eller till missade möjligheter till bostadsbyggande. Det föreslagna forskningsprojektet ska resultera i riktlinjer för stadsplanering med syfte att leda till minskad exponering för både luftföroreningar och buller.Målet med det föreslagna projektet är att utveckla en uppsättning riktlinjer för planering, där effekterna på luftföroreningar och buller kombineras med avseende på urban morfologi (form och placering av huskroppar i förhållande till vägar) och med användandet av grönytor (låg vegetation, buskar och träd).Projektets ar",11,,9,11,(tom)
2017-00917,Pol2Am: Ren luft med innovativt omvandling av förorenande ämne till ammonium,"Projektet avser att utveckla ny kunskap för åtgärder mot luftföroreningar inom livsmedelsindustriella anläggningar, avfallsanläggningar och fartyg. Vi kommer att ta bort farliga föroreningar genom omvandling till koldioxid och ammoniumsalter med hjälp av kallt plasma. De kemiska processerna inkluderar oxidation med ozon, bildning av syror genom reaktion med ånga och nitratbildning genom reaktion med ammoniak. Den vetenskapliga utmaningen är kopplat till turbulent omblandning av reaktanter som samtidigt genomgår 20-30 konkurrerande kemiska reaktioner. Projektet kommer att bidra med ny kunskap om modellering och hur man kan kontrollera de olika oxidationsreaktionerna, samt även modellering av bildandet av ammoniumsalter. Vi kommer att studera ett nytt reaktions-/omblandningskoncept med maximal prestanda för borttagandet av föroreningar genom bättre processkontroll. Det vetenskapliga resultatet från projektet besvarar följande frågor, (i) vilka är den huvudsakliga stegen i oxidation av föroreningar med ozon?, (ii) hur ska den turbulenta omblandningen och reaktionerna kontrolleras för att säkerställa oxidation av föroreningar?, och (iii) hur säkerställs en total omvandling av föroreningarna till ammoniumsalt? Den samhälleliga nyttan kommuniceras och visas genom demonstration av det innovativa konceptet. Intressenter kommer att sitta i en referensgrupp för att säkerställa att resultatet blir till vetenskaplig nytta och möjliggör vidare konstruktion av pilotskaleanläggningar.",12,8,7,9,(tom)
2017-00932,Diversifierad Salixodling för begränsning av klimatförändringar: Samband mellan växtegenskaper och mikrobiell metabolism i marken,"Omställningen till ett ""fossilfritt"" Sverige vid 2050 kräver anpassning av jordbruksmetoder för att säkerställa en hållbar förvaltning av markanvändningen. Videsläktet Salix är av stor betydelse i produktionen av biomassa för förnybar bioenergi. Lite är känt om potentialen hos olika Salix-sorter beträffande växtegenskaper och deras inflytande på processer i marken, t.ex. kolkretslopp. Syftet med detta projekt är att förbättra vår förståelse hur ovan-jordiska växtmångfald kan användas för att förbättra mikrobiell funktionell mångfald och resurseffektivitet i marken. Den övergripande hypotesen är att en ökad mångfald av Salix-sorter resulterar i en mer effektiv användning av kol, vilket kommer att öka kolinbindning i marken och begränsa den globala uppvärmningen på lång sikt. De grundläggande mekanismerna kommer att belysas genom att kombinera olika molekylära metoder till ett nytt bioenergetiskt ramverk. Data kommer att användas för att utveckla en modell som beskriver omsättningen av det organiska materialet i marken. Förändringar i kolinlagring kommer att utvärderas genom att använda framtida klimatscenarier. Forskningsresultaten kommer att spridas till beslutsfattare, växtförädlare samt internationella forskningsprogram som jobbar i framkant av utvecklingen för en hållbar intensifiering av jordbruket. Sammantaget kommer resultatet att tillåta en mer detaljerad analys av kolbalanser i olika ekosystem och bidra till den pågående debatten om energi- kontra livsmedelsgrödor.",2,15,7,13,15
2017-00933,Stödjande akustik i förskola ur ett barnperspektiv,"Förskolebarn tillbringar en stor del av sin vakna tid i byggnader där rumsakustik är utformad för utbildningsändamål och för vuxna. Det förbises av olika aktörer att förskolor har andra verksamhetskrav, och gällande normer är inte anpassade till förskoleverksamhet. Nya studier visar att ett barns hörselintryck inte är jämförbar med en vuxens, då axlar, huvud, ytteröra och hörselgångens form förstärker högre frekvenser för ett barn. Studier av barns perception och beteende ger stöd för en ökad känslighet för högfrekventa ljud och studier av otoakustiska emissioner indikerar risk för hörselskada. Det finns ett stort behov att ta fram kunskap och förslag på byggnadsrelaterade kvalitetskriterier som stödjer förskoleverksamhet och barns specifika hörsel. Detta uppnås genom att mäta akustik (rumsakustik, ljudinspelningar och rumskarakterisering), och relatera dessa parametrar till mätningar av barns uppfattning och hörsel. Dessa samband är grunden för vidare analyser av kriterier för akustisk kvalitet vilka tar utgångspunkt i barns hörande. I en tvärsnittsstudie bland 33 förskolor av olika byggnadsår, uppmätts akustik och parametrarna relateras till mätningar av barns perception (validerad enkät) och påverkan på hörsel (otoakustiska emissioner). Framgången av detta projekt kommer att ha betydelse för konstruktion och design av förskolor. Förbättrade kriterier kommer att förbättra ljudmiljön, minska skadliga ljudnivåer och minska obehag och stress av ljud i förskolan.",4,3,3,11,12
2017-00937,Analys av stadsförtätning ur ett ekologiskt resiliens-perspektiv,"Stadsförtätning, eller ”Smart tillväxt”, anses ofta vara en miljövänlig metod för att bygga städer. Men i vilken utsträckning är detta sant och vad menas egentligen med ett begrepp som ”täthet”? I detta forskningsprojekt med anknytning till urbanekologi, stadsplanering och design granskar vi miljömotiven bakom stadsförtätning genom att 1) utföra en storskalig internationell litteraturgenomgång; 2) studera vilka markanvändningsformer i Stockholmsregionen som stadsförtätning sker i; samt 3) analysera potentialen för att förbättra den ekologiska resiliensen (buffertkapaciteten) hos svenska stadstäta strukturer med speciellt fokus på Stockholm. Syftet är att förbättra vår miljöförståelse av den pågående stadsförtätningsprocessen samt analysera i vilken utsträckning det är möjligt att göra förtätade strukturer mer motståndskraftiga mot klimatförändringar med hjälp av ekosystemtjänster. I projektet kombineras kvalitativa litteraturstudier med metoder för analys av stadsform (spacematrix), GIS analyser och studier för att bygga en mer resilient stadsform med Naturbaserade lösningar och ekosystemtjänster. Förutom nya vetenskapliga insikter förväntas resultaten kunna bidra till en mer klimatanpassad och resilient utveckling av Stockholmsregionen, ett mer effektivt genomförande av de svenska miljömålen, samt för att utveckla nya verktyg för stadsbyggare, arkitekter och statliga myndigheter, kommuner och landsting som verkar inom ramen för en mer hållbar stadsutveckling.",11,,11,15,(tom)
2017-00938,En ny metod för att förbättra tillväxten av grödor utan transgener,"Grödor utgör en väsentlig källa till mat, foder samt biobränsle och bildar grunden i en bio-baserad ekonomi. Hållbarheten i våra odlingsmetoder är hotad av klimatförändring, brist på odlingsbar mark och befolkningsökning och därför är det bråttom att förbättra våra grödors tillväxt och motståndskraft. Här föreslår vi ett tvärvetenskapligt forskningsprogram med syftet att etablera icke-transgena strategier för att förbättra tillväxten av raps (Brassica Napus). Centralt är att vi avser bygga på våra nyfunna upptäckter, som klargjorde att proteasproducerade proteinfragment är vitala vad gäller styrning av grödors tillväxtmekanismer. Dessa proteinfragment kan detekteras med en proteomisk metod som vi nyligen utvecklat, och deras produktion kan intensifieras via CRISPR/Cas9, ett nytt system för genetisk modifiering utan introduktion av främmande DNA. I detta projekt kommer vi att: (1) Identifiera proteasproducerade proteinfragment som positivt påverkar tillväxten i raps; (2) Optimera CRISPR/Cas9 för raps; (3) Generera nya motståndskraftiga rapssorter. Den tredje punkten är potentiellt avgörande för tillväxtförädling hos raps och även hos andra grödor. I kontrast till traditionell genetisk modifiering (GM) så möjliggör CRISPR/Cas9 produktionen av modifierade grödor fria från transgener, som således slipper alla regleringar kring GM-grödor. Vårt projekt kommer därför att vidga nya perspektiv på hur vi kan manipulera komplexa egenskaper såsom tillväxt utan att använda transgener.",2,,2,7,13
2017-00939,Fickor av (o-) jämlikhet? Att utforska och främja unga vuxnas utbildnings- och livskarriärer i förorts- och glesbygdsområden,"Syftet med projektet är att utforska unga vuxnas utbildnings- och livskarriärer i områden som ses som kulturellt och ekonomiskt utsatta samt att främja unga vuxnas utbildnings- och livskarriärer. Med unga vuxna avses män och kvinnor, migranter och infödda svenskar i åldern 18-25 år i såväl förorter som glesbygdsområden. Med utbildnings- och livskarriär avses individers kontinuerliga livsval och möjligheter till utbildning, arbete och fritid. Projektet fokuserar på följande breda frågeställningar:Vilka ”fickor av (o-) jämlikhet” kan identifieras i spänningsfältet mellan unga vuxnas biografier, det geografiska område där de bor och de virtuella miljöer där de verkar?Hur påverkar dessa ”fickor av (o-) jämlikhet” unga vuxnas utbildnings- och livskarriärer?Hur kan unga vuxnas utbildnings- och livskarriärer i utsatta områden främjas?Projektet utgår ifrån att såväl geografiska som virtuella rum och individers biografier tillsammans formar unga vuxnas utbildnings- och livskarriärer.Projektet planeras som en treårig, interaktiv, longitudinell tvåfallsstudie bestående av ett förorts- och ett glesbygdsområde som ses som kulturellt och ekonomiskt utsatta. Forskningsdesignen är främst kvalitativ men har också kvantitativa inslag och omfattar också interaktiva aspekter i syfte att skapa kunskap och förståelse samt tillsammans med nyckelaktörer i områdena främja unga vuxnas utbildnings- och livskarriärer och därmed deras livschanser i utsatta områden.",4,5,4,10,16
2017-00946,Reglerar signalkomponenter i sädesvätska fertiliteten hos produktionsdjur?,"Konventionell spermabedömning är sub-optimal och kan inte förutsäga fertiliteten eftersom vi inte förstår hur sperma komponenter kan signalera för spermie överlevnad, urval och undvikande av avstötning efter insemination, särskilt när den medföljande sädesvätskan (SF) tas bort eller späds upp. Vi har granskat SF-komponenter, dess proteom (inklusive särskilda antioxidanter och cytokiner) och dess transkriptom, särskilt mikroRNA i exosomer (epididymosomes och/eller prostasomer) i kyckling och grisar, två relevanta produktionsdjur. Eftersom vissa SF-komponenter framkallar liknande gensvar hos honliga spermiereservoarer, hypotetiserar vi att dessa över djurklass-bevarade genuttryck är lämpliga molekylära fertilitets-relaterade markörer för utvärdering av sperma och handjuret. Vi strävar efter att avslöja en bevarad signal roll för små RNA som finns i spermie-fri sädesvätska som framkallar skillnader i genuttryck och påverkar fertiliteten hos tamhöns och gris. Projektetsmål är att: (i) skapa en jämförande kartläggning av uttrycksmönster för små RNA (med fokus på miRNA) i spermiefria sädesvätska-exosomer och spermier, samt epigenetiska förändringar (DNA metylering) i sperma, samt (Ii) bestämma, med hjälp av epitelcell explantat från spermiereservoarer i äggledaren, vilken/a små RNA ansvarar på dessa genuttrycks förändringar i förhållande till spermakvalitet och fertilitet. Vi förväntar att kunna utrusta intressenter med lämpliga verktyg för tidig sållning av less fertila hanar.",2,,3,12,15
2017-00951,SWIDDICH projektet - jodbehandling under graviditet för ett hållbart samhälle ,"En adekvat jodnutrition behövs för ett hållbart samhälle, men mild jodbrist har uppkommit bland gravida kvinnor. Moderat-svår jodbrist under graviditeten leder till försämrad mental funktion och lägre IQ hos barnet till följd av låg ämnesomsättning. Associationsstudier pekar på liknande, men mindre effekter av mild jodbrist, men kausal bevisning saknas. Om det är på det sättet, så är konsekvenserna för samhållet stora. Kvaliteten på humankapitalet minskar med lägre tillväxt och internationell konkurrenskraft. Fler människor klassas som mentalt retarderade vilket ökar kostnaderna och orsakar sociala problem.Lägre IQ noteras inte om det inte mäts. Detta projekt kommer att utvärdera om alla gravida kvinnor behöver extra jod för att förbättra barnens hjärutveckling. Under 2017-2018 kommer 1275 kvinnor behandlas med multivitaminer med /utan 150 µg jod dubbelblint randomiserat sätt under graviditet. Urinjodkoncentration (UIC), sköldkörtelhormoner (TH) och thyreoglobulin mäts. Barnen som föds utgör en observationell kohort som separeras av olika jodexposition under fosterlivet (normal vs mild jodbrist). För att påvisa 3 poängs IQ skillnad behövs 788 barn. Dessa kommer att utvärderas vid 1,5, 3och 7 års ålder avseende kognition, IQ, beteende, UIC, TH och (i ett subsample) magnetkameraundersökning av hjärnan.Denna studie behövs för att förändringar och omställningar som kräver samverkan mellan politik, näringsliv och civilsamhälle skall kunna ske för en hållbar human biologi.",3,,3,10,11
2017-00953,Ojämlikhetens geografier: Mot socialt hållbar regional utveckling,"Detta tvärdisciplinära forskningsprojekt för samman teorier från kulturgeografi, statsvetenskap och planering för att undersöka hur ojämn geografisk utveckling adresseras och hanteras i svensk regionalpolitik och planering. Mycket av samtida regionforskning fokuserar ekonomisk produktivitet och konkurrens. Det här projektet riktar istället fokus mot politiska, demokratiska och socio-rumsliga aspekter av ojämn geografisk utveckling. Ett skäl till att detta är viktigt är att Sverige uppvisar ökande regionala skillnader i inkomst, utbildning, hälsa, arbetsmöjligheter och välfärdsservice. Samtidigt lokaliseras nationella investeringar till regioner och platser med störst tillväxtpotential. Detta tenderar att befästa en ojämn geografisk utveckling. Att Sverige har flera olika institutionella former för regionalt utvecklingsansvar komplicerar frågan ytterligare och gör att förutsättningarna för att skapa regionala utvecklingsstrategier varierar. Regionerna saknar också mandat för att implementera sina strategier då",11,,8,10,11
2017-00957,Nya metoder att ersätta eller minska antibiotikaanvändning i spädningsvätska,"Nuförtiden finns stör oron över uppkomsten av antibiotikaresistenta bakterier, särskilt metacillinresistenta stammar. Små mängder av antibiotika kan resultera i avsevärda nivåer av resistens som dessutom kan överföras mellan människa och djur. Man försöker bekämpa uppkomsten av resistens genom att begränsa antibiotika-användningen till att enbart användas i terapeutiskt syfte, och att endast använda den allra mest lämpliga antibiotikan för just det ändamålet. En icke-terapeutisk användning av antibiotika som ofta förbises är den tillsats av antibiotika till spädningsvätskor för sperma inom djuravel. De används för att förhindra tillväxt av kontaminerande bakterier som sker vid spermasamling och färdigställande av spermadoser för artificiell insemination (AI). Att just detta ställer till problem beror på den omfattande användningen av AI samt att antibiotika i detta fall ansetts nödvändig för att inte sprida sjukdom med producerade spermadoser. Här är ett förslag till alternativa till antibiotikar i spädningsvätska som kan vara nyttig för samhället generellt. De bakterier som kan återfinnas sperma skall identifieras och en metod för att separera spermier och bakterier skall testas för användbarhet under fältmässiga förhållanden. Nya växtbaserade substans skall undersökas avseende påverkan på bakterier och spermiekvalitét. Flödes cytometri sak användas för att kvatnifera och identifiera bakteria. Kunskap spridas vidare till intressenter inom Sverige och utomlands.",3,,2,3,12
2017-00959,Design för minimerat fibersläpp från textilier,"Mikroplaster som förorenar i havsmiljön är en miljöfråga som på senare tid diskuterats intensivt på global nivå. Textila material bidrar till denna förorening via läckage av långsamt nedbrytbara plaster i mikroskala från tyg i syntetmaterial. En nollvision i utsläpp av mikroplaster från tyger är därför något att sträva mot. Detta utvecklingsprojekt syftar därför till att ge vetenskapligt utvärderade lösningar för minimering av läckage av mikroplaster med fokus på vad textilindustrin och vitvaruindustrin kan göra med gemensamma ansträngningar. Arbetet kommer att bedrivas genom att föra samman forskare med tidigare erfarenhet inom området från Swerea IVF, Textilhögskolan i Borås, Chalmers Living Lab, samt utvalda industrimedlemmar med pågående relevanta aktiviteter på både nationell och internationell nivå. Målsättningen är att minimera uppkomst och emission av mikroplaster från textilier, via designlösningar för tygkonstruktion och olika typer av tvättmaskinsfilter. Lösningarna kommer att utvärderas med avseende på hållbarhet och användas till att projektmedlemmarna samskapar en designmanual som slutligen presenteras till relevanta yrkesverksamma inom eller med anknytning till textilsektorn.",14,,9,11,12
2017-00963,WEIRD: Förbättra kolfixeringen genom att studera Rubiscos mångfald,"Det CO2-fixerande enzymet ribulos-1,5-bisfosfatkarboxylas/oxygenas (Rubisco) är långsamt och uppvisar låg substratspecificitet vilket ofta leder till begränsad tillväxt hos fotosyntetiska organismer. Detta gäller även arter som används för produktion av biobränsle. Struktur och aktivitet hos ""röda"" Rubiscos från rödalger och kiselalger är ovanliga: deras struktur avviker från ”gröna” Rubiscos från bladväxter, och deras katalytiska förmåga är ofta vida överlägsen.Orsaken till denna katalytiska överlägsenhet är hittills okänd. Ett annat problem är att skillnader i chaperonproteiner hindrar oss från att direkt ersätta gröna växters Rubisco med överlägsna röda varianter.Baserat på den nyligen bestämda kristallstrukturen av Rubisco från en rödalg kommer vi att med molekyldynamiksimuleringar av gasdistribution identifiera sekvens-struktur-element som ökar den katalytiska förmågan. Dessutom kommer vi att strukturbestämma chaperoner från röda Rubisco, jämföra dem med deras motsvarighet i bakterier och gröna växter, och använda dem för att vecka röda Rubisco i andra organismer.Denna forskning utnyttjar den naturliga variationen hos Rubisco för att: (i) överföra ovanliga strukturelement från röda Rubisco till gröna Rubisco, och (ii) ersätta lågpresterande Rubisco med högpresterande varianter i fotosyntetiska organismer för att förbättra fotosyntesen och effektiviteten i produktion av biobränsle från alger.",7,,2,7,13
2017-00965,Klimatförändringarnas inverkan på diapaus: implikationer för skadeinsekter,"Diapaus är ett djupt vilostadium som många insekter använder för att överleva perioder av stress (som t.ex. vintern). Diapaus är således av stort adaptivt värde för många viktiga skadeinsekter. Därför är det överraskande att vet vi väldigt lite om dess fysiologiska regleringsmekanismer. Livshistoriemodeller som förutspår skadeinsekters livscykler och spridningsmönster är av stort värde för skadeinsektsbekämpning, men dessa lider ofta av (i) vaga diapausfysiologikomponenter samt (ii) inexakta mikroklimatvariationsmodeller, som båda sänker livshistoriemodellernas resolution. Resolutionen försämras också på grund av att vinterklimatet (då insekterna är i diapaus) verkar förändras i mycket större utsträckning än sommarklimatet på grund av klimatförändring.I detta projekt tänker jag närma mig dessa två problem genom att först i detalj karakterisera diapausfysiologin hos tre modellarter med fokus på termineringen av diapaus samt de energikrav som diapausen utgör. En av arterna är en viktig skadeinsekt. Parallellt kommer jag sätta upp ett omfattande fältprojekt som undersöker mikroklimatvariation i övervintringsmikrohabitat – dvs. på skalor som faktiskt spelar en roll för övervintrande insekter. Dessa två delar kommer sedan att integreras, och testas i experiment där jag manipulerar temperaturvariationen, för att förutspå hur varmare vintrar kommer att påverka diapausfysiologi samt populationsekologin hos de tre arterna.",15,13,12,13,15
2017-00973,"Clostridium thermocellum som nästa generations cellfabrik för industriell, bioteknisk produktion av kemikalier och bränslen från jordbruks- och skogsrester","Projektet ämnar utveckla Clostridium thermocellum som nästa generations robusta, mikrobiell cellfabrik för att omvandla (lingo-)cellulosa till bränslen och kemikalier med minsta förbehandling. Industriell, bioteknisk produktion av kemikalier och bränslen från biologiskt material är ett cirkulärt och hållbart alternativ till petrokemisk produktion, vilket belyses av den senaste tidens uppstart av många jäst och E. coli baserade industriella processer. Användning av lignocellulosa, istället för raffinerat socker, möjliggör (framtida) ökade produktionsvolym och kostnadseffektiva processer, utan att konkurrera med livsmedel. Exempel på lignocellulosaråvaror är jordbruks- och skogsrester och dedikerade energigrödor odlade på obrukbar jord. De nystartade industriella och jästbaserade processerna för etanolproduktion från majsrester och bagass visar på behovet av fortsatta innovationer inom mekanisk och enzymatisk förbehandling. C. thermocellums största fördel jämfört med nuvarande biokatalysatorer är dess förmåga att bryta ner (ligno-)cellulosa efter minsta förbehandling, utan enzymtillsats och vid förhöjd temperatur. Dock kommer industriell implementering kräva ökad produkttolerans, minskad biproduktbildning och förbättrad robusthet till ändringar i pH och monosackaridkoncentrationer. Projektet kommer att tillämpa de senaste teknikerna i molekylär biologi kombinerat med laborationsevolution och kvantitativ fysiologi i bioreaktorer, för att frigöra potentialen hos C. thermocellum.",12,7,7,9,12
2017-00974,Kvicksilver i avrinnande vatten: Identifiering av områdesspecifika faktorer och hänsynsåtgärder som påverkar export av kvicksilver samt bildning av metylkvicksilver vid skogsavverkning,"Höga koncentrationer av kvicksilver (Hg) i svensk insjöfisk är ett stort miljöproblem och en hälsorisk. Skogsbruk kan mobilisera Hg som finns bundet i marken samt främja bildandet av den bioackumulerande formen metyl-Hg (MeHg). Tidigare studier om effekter av skogsbruk på avrinningen av total-Hg (THg) och MeHg, visar på en stor variation i respons mellan olika områden. Denna variation gör det svårt att dra generella slutsatser om skogsbrukets roll samt att ge riktlinjer för att begränsa negativa effekter på Hg i avrinnande vatten. Syftet med projektet är att identifiera faktorer som avgör ett områdes känslighet för skogsavverkning ur Hg-synpunkt samt föreslå åtgärder för att begränsa Hg export vid avverkning. I delprojekt 1 görs områdeskaraktärisering och ny fältprovtagning i områden som nyttjats i tidigare studier om avverkning, för att förklara variationen mellan områden i respons på THg och MeHg i avrinnande vatten efter avverkning. I delprojekt 2 analyseras ett stort datamaterial för att utvärdera hur andelen avverkad mark inom ett avrinningsområde påverkar THg och MeHg i avrinnande vatten i relation till annan områdeskarakteristik. I delprojekt 3 utvärderas en faktor som inte har adresserats i tidigare studier – effekten av kvarlämnade avverkningsrester på metylering av Hg – i ett experimentellt fältförsök. Kunskaper från detta projekt kommer att utgöra en viktig kunskapsbas då riktlinjer om hänsynstagande åtgärder utformas för att minska export av Hg efter avverkning.",15,,15,(tom),(tom)
2017-00979,Genetiska biosensorer för utvecklingen av bättre cellfabriker för produktion av platformkemikalier,"En effektiv biokemisk omvandling av förnybara kolkällor är avgörande för övergången till ett resurseffektivt samhälle. Industriella processer kräver stammar som är toleranta mot flera stressförhållanden och har en hög prouctivitet, egenskaper som bör utvecklas för att biobaserade kemikalier och material skall bli konkurrenskraftiga.Syftet med projektet är att utveckla genetiska biosensorer för jästsvampar, som mäter intracellulära halter av ättiks- eller mjölksyra. Ättiksyran är en inhibitor, ett hämmande ämne, som finns i lignocellulosa hydrolysat, ett råmaterial gjort av växtbiomassa som som inte konkurrerar med matproduktion. Mjölksyra används t. ex. för framställning av bioplaster. De biosensorer som utvecklas kan användas för att hitta mer robusta och effektiva cellfabriker med ökad tolerans mot ättiksyra eller för screening av stammar med en ökad produktion av mjölksyra.Än idag är riktad evolution den mest använda metoden för att erhålla robusta produktionsvärdar. Dessutom har automation och ny stammanipuleringsteknik flyttat flaskhalsen från stamgenerering till screening och utvärdering av stammar och mutanter. Således finns det en stor efterfrågan på high-througput metoder för utvärdering av stammar, särskillt cellernas förmåga att växa i hämmande miljöer eller deras kapacitet att producera kemikalier, såsom mjölksyra. Biosensorerna som utvecklas kommer att användas för jämförelse av olika industriella stammar som kan användas i andra generationens bioraffinaderier.",12,,9,(tom),(tom)
2017-00983,Nya biologiska bekämpningsstrategier av växtpatogener för hållbar produktion av frukt och grönsaker,"Frukt är den näst viktigaste grödan efter spannmål och utgör en ovärderlig näringskälla. Kärnfruktsodlingar plågas regelbundet av den svåra sjukdomen päronpest orsakad av bakterien Erwinia amylovora. Dessutom orsakar Xanthomonas enorma skador på bestånd av t.ex. bananer och tomater, ofta i tredje världen. Bakterieinfektionerna har tidigare behandlats med antibiotika, men på grund av ökad resistens hos bakterierna är det nödvändigt att hitta nya behandlingar. Virulens och patogenicitet hos bakterierna är i hög grad beroende av fytopatogena polysackarider, amylovoran och xantangummi.För att bidra till att säkra framtida fruktbestånd föreslår vi två strategier som inte baserar sig på traditionell antibiotika. Först vill vi studera hur bildandet av amylovoran och xantangummi kan hämmas på ett tidigt skede genom att slå ut enzymet som utgör det första steget i biosyntesvägen. I bägge fallen handlar det om ett enzym som bildar en essentiell glykolipid som levererar sockerenheter för fortsatt polysackaridsyntes.Sedan vill vi undersöka möjligheten att öka motståndskraften hos växten. En samarbetsgrupp i Wien har visat att ökad produktion av flavonoiden 3-hydroxyfloretin (3HPL) stärker äppelträdets motståndskraft mot päronpest. Produktionen är emellertid låg, och genom att studera de molekylära mekanismer som påverkar växtens förmåga att producera 3HPL vill vi lägga grunden för senare genomeditering med syfte att förbättra växtens egen produktion av 3HPL.",2,,2,3,12
2017-00999,Inter-species jämförande Evo-Devo studie för dissekering av den genetiska arkitekturen i trä egenskaper: Mot en skog biobaserad ekonomi,"Syftet med projektet är att generera insikt om den evolutionära divergensen av vedformation mellan gömfröiga och nakenfröiga träd och att öka förståelsen om hur vedbildning regleras hos förvedade växter. Ved från två nakenfröväxt och två gömfröväxt artor som skiljer sig både anatomiskt och kemiskt. Granvedfiber är även längre och har en annan ligninsammansättning än aspved. Studien kommer även att analysera det nakenfröiga trädet Gnetum gnemon (Gnetopsidae), som har utvecklat kärlceller och det gömfröiga trädet Drimys winteri (Winteracea), som har tappat sina kärl under dess evolution och har beskrivits som en övergångsform mellan lövträd och barrträd. Jämförande studier som drar nytta av nya genetiska och genomiska verktyg möjliggör omfattande evolutionära analyser av vedbildning. Projektets ambition är att bidra till omställningen till en bio-baserade ekonomi genom att erbjuda nya molekylära metoder för förädling av vedegenskaper mellan arter. Målen är:Detektera hur kluster av divergerande genuttryck (RNAseq) associerar till vedegenskaper.Identifiera kausal polymorfism som förklarar skillnader i genuttryck mellan arter.Användning av CRISPR/Cas9 editing-metoden för att validera kausaliteten i den detekterade polymorfismen.",15,,7,12,13
2017-01000,MegaClim: begränsar tjuvjaktskrisen megaherbivorernas motverkande effekt på klimatförändringarna?,"På under tjugo år kan världen ha förlorat sina sista vita noshörningar på grund av hejdlös tjuvjakt. Vi har en bristande förståelse över vad det betyder att förlora dessa megaherbivorer. Ny forskning tyder på att utdöendet av noshörningens ekvivalenter under Pleistocen ledde till stora förändringar i marktäcket, vilket bidrog till regional uppvärmning. Detta stämmer överens med den senaste utvecklingen inom jordsystemforskning; förändringar i marktäcket påverkar uppvärmningen genom biofysiska feedbacks mellan klimat och vegetation. Det leder till den lämplig frågan: begränsar tjuvjakt på noshörning megaherbivorernas motverkande effekt på klimatförändringarna? Vi har tillgång till unika kontraster på ekosystemnivå som baseras på lagligt (försäljning) och olagligt (tjuvjakt) avlägsnande av noshörningar. Genom sådana kontraster kan vi fastställa sambandet mellan förändringar i vegetationen och förlusten av noshörningar. Vi kommer att mäta vegetationens biofysiska egenskaper och använda klimatmodeller för att predicera hur förlusten av noshörningar påverkar uppvärmningen. Projektet kommer att bilda ett team av ekologer och jordsystemvetare, och samarbetar med en Sydafrikansk naturvårdsmyndighet för att få tillgång till känsligt noshörningsdata. Projektet skapar en ny förståelse av ekosystemtjänster som levereras av den hotade afrikanska megafaunan. Tjuvjaktskrisen kanske bara ger oss några få år att studera de kvarvarande megaherbivorerna. Det är därför hög tid att lära sig nu.",15,,13,(tom),(tom)
2017-01006,Ligninets roll för saprotrof nedbrytning av växtmaterial och genes av organiskt material i boreala jordar,"En utmärkande egenskap hos humuslagrets organiska material i boreala jordar är att det innehåller 40-50% kolhydratpolymerer, även i material som brutits ned under flera årtionden. Detta motsäger gängse konceptuell nedbrytningsmodeller vilka antar att i huvudsak aromatiska och alifatiska polymerer är svårnedbrytbara. Vi vill undersöka om denna ackumulering av kolhydrater beror på att de skyddas av omgivande lignin, eller om det beror på kolhydratpolymerens kristallina struktur. Som modellsubstrat kommer vi att använda olika genotyper av Populus tremula, som varierar i både mängd lignin och i förhållandet mellan de olika typer fenylpropanoider som bygger upp lignin. Vi kommer även att använda 13C-inmärkt cellulosa med varierande grad av kristallinitet. Betydelsen av lättillgängliga kolsubstrat (s.k. priming) och kväve för nedbrytningen kommer att undersökas under kontrollerade förhållanden. Vi kommer att följa nedbrytningen med 2D HSQC NMR som kan identifiera vilka molekylära strukturer i lignocellulosakomplexen som bryts ned över tid. 16s RNA och djupgående metagenomkaraktärisering kommer att ge information om mikroorganismernas metabola kapacitet och aktiviteten i relevanta enzym över tid och mellan behandlingar. Sammantaget ger denna information det möjligt att vetenskapligt testa många av de gamla hypoteser som ligger till grund för hur vi idag relaterar till nedbrytning av växtmaterial och genes av markorgansikt material i boreala humuslager.",15,,13,15,(tom)
